"elaborado","nombre","provincia","id","version","origen.productor","origen.web","origen.enlace","origen.language","origen.copyright","origen.notaLegal","probPrecipitacion.value","probPrecipitacion.periodo","probTormenta.value","probTormenta.periodo","probNieve.value","probNieve.periodo","fecha","orto","ocaso"
"2020-09-10T15:11:50","Málaga","Málaga","29067","1.0","Agencia Estatal de Meteorología - AEMET. Gobierno de España","http://www.aemet.es","http://www.aemet.es/es/eltiempo/prediccion/municipios/horas/malaga-id29067","es","© AEMET. Autorizado el uso de la información y su reproducción citando a AEMET como autora de la misma.","http://www.aemet.es/es/nota_legal","0","0208","0","0208","0","0208","2020-09-10T00:00:00","07:55","20:32"
"2020-09-10T15:11:50","Málaga","Málaga","29067","1.0","Agencia Estatal de Meteorología - AEMET. Gobierno de España","http://www.aemet.es","http://www.aemet.es/es/eltiempo/prediccion/municipios/horas/malaga-id29067","es","© AEMET. Autorizado el uso de la información y su reproducción citando a AEMET como autora de la misma.","http://www.aemet.es/es/nota_legal","0","0814","0","0814","0","0814","2020-09-10T00:00:00","07:55","20:32"
"2020-09-10T15:11:50","Málaga","Málaga","29067","1.0","Agencia Estatal de Meteorología - AEMET. Gobierno de España","http://www.aemet.es","http://www.aemet.es/es/eltiempo/prediccion/municipios/horas/malaga-id29067","es","© AEMET. Autorizado el uso de la información y su reproducción citando a AEMET como autora de la misma.","http://www.aemet.es/es/nota_legal","0","1420","0","1420","0","1420","2020-09-10T00:00:00","07:55","20:32"
"2020-09-10T15:11:50","Málaga","Málaga","29067","1.0","Agencia Estatal de Meteorología - AEMET. Gobierno de España","http://www.aemet.es","http://www.aemet.es/es/eltiempo/prediccion/municipios/horas/malaga-id29067","es","© AEMET. Autorizado el uso de la información y su reproducción citando a AEMET como autora de la misma.","http://www.aemet.es/es/nota_legal","0","2002","0","2002","0","2002","2020-09-10T00:00:00","07:55","20:32"
"2020-09-10T15:11:50","Málaga","Málaga","29067","1.0","Agencia Estatal de Meteorología - AEMET. Gobierno de España","http://www.aemet.es","http://www.aemet.es/es/eltiempo/prediccion/municipios/horas/malaga-id29067","es","© AEMET. Autorizado el uso de la información y su reproducción citando a AEMET como autora de la misma.","http://www.aemet.es/es/nota_legal","0","0208","0","0208","0","0208","2020-09-11T00:00:00","07:56","20:30"
"2020-09-10T15:11:50","Málaga","Málaga","29067","1.0","Agencia Estatal de Meteorología - AEMET. Gobierno de España","http://www.aemet.es","http://www.aemet.es/es/eltiempo/prediccion/municipios/horas/malaga-id29067","es","© AEMET. Autorizado el uso de la información y su reproducción citando a AEMET como autora de la misma.","http://www.aemet.es/es/nota_legal","0","0814","0","0814","0","0814","2020-09-11T00:00:00","07:56","20:30"
"2020-09-10T15:11:50","Málaga","Málaga","29067","1.0","Agencia Estatal de Meteorología - AEMET. Gobierno de España","http://www.aemet.es","http://www.aemet.es/es/eltiempo/prediccion/municipios/horas/malaga-id29067","es","© AEMET. Autorizado el uso de la información y su reproducción citando a AEMET como autora de la misma.","http://www.aemet.es/es/nota_legal","0","1420","0","1420","0","1420","2020-09-11T00:00:00","07:56","20:30"
"2020-09-10T15:11:50","Málaga","Málaga","29067","1.0","Agencia Estatal de Meteorología - AEMET. Gobierno de España","http://www.aemet.es","http://www.aemet.es/es/eltiempo/prediccion/municipios/horas/malaga-id29067","es","© AEMET. Autorizado el uso de la información y su reproducción citando a AEMET como autora de la misma.","http://www.aemet.es/es/nota_legal","0","2002","0","2002","0","2002","2020-09-11T00:00:00","07:56","20:30"
"2020-09-10T15:11:50","Málaga","Málaga","29067","1.0","Agencia Estatal de Meteorología - AEMET. Gobierno de España","http://www.aemet.es","http://www.aemet.es/es/eltiempo/prediccion/municipios/horas/malaga-id29067","es","© AEMET. Autorizado el uso de la información y su reproducción citando a AEMET como autora de la misma.","http://www.aemet.es/es/nota_legal","","0208","","0208","","0208","2020-09-12T00:00:00","07:57","20:29"
"2020-09-10T15:11:50","Málaga","Málaga","29067","1.0","Agencia Estatal de Meteorología - AEMET. Gobierno de España","http://www.aemet.es","http://www.aemet.es/es/eltiempo/prediccion/municipios/horas/malaga-id29067","es","© AEMET. Autorizado el uso de la información y su reproducción citando a AEMET como autora de la misma.","http://www.aemet.es/es/nota_legal","","0814","","0814","","0814","2020-09-12T00:00:00","07:57","20:29"
"2020-09-10T15:11:50","Málaga","Málaga","29067","1.0","Agencia Estatal de Meteorología - AEMET. Gobierno de España","http://www.aemet.es","http://www.aemet.es/es/eltiempo/prediccion/municipios/horas/malaga-id29067","es","© AEMET. Autorizado el uso de la información y su reproducción citando a AEMET como autora de la misma.","http://www.aemet.es/es/nota_legal","","1420","","1420","","1420","2020-09-12T00:00:00","07:57","20:29"
"2020-09-10T15:11:50","Málaga","Málaga","29067","1.0","Agencia Estatal de Meteorología - AEMET. Gobierno de España","http://www.aemet.es","http://www.aemet.es/es/eltiempo/prediccion/municipios/horas/malaga-id29067","es","© AEMET. Autorizado el uso de la información y su reproducción citando a AEMET como autora de la misma.","http://www.aemet.es/es/nota_legal","","2002","","2002","","2002","2020-09-12T00:00:00","07:57","20:29"
